Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys,Plot,PL,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,TillageforCurrentCropEstablishment,NumSoilDistrubEvents,NUmAboveGroundDistrub,NumDaysSinceLastSoilDisturb,SDR,Total_NumofDisturb,SamplingEvent,SE,SETiming,CurrentCrop,SampleDate,Plot,MatricPotential,Gravimetric,WaxwormRotten,WaxwormTotal ,WaxwormTotal_Infected,Percent_Waxworm_Infect,MealwormTotal ,MealwormTotal_Infect,Perc_Meal_Infect,barpH,barEC,ActiveCmg/kg,SoilStandardAbsorbance,SoultionStandardAbsorbance,y-intercept,slope,ActiveC/mg/kgLEWIS,AggregateStability,SampleDateCheck,Plot Number Check,aalpH,P,K,Mg,Ca,CEC,%CECK,%CECMg,%CECCa,zinc,copper,sulfur,OrganicMatterPerc,salts,SandPerc,SiltPerc,ClayPerc,SoilTexturalClass,g,Cornell_soil_texture_class,Cornell_soil_texture_sand,Cornell_soil_texture_silt,Cornell_soil_texture_clay,Cornell_pred_water_capacity,Cornell_pred_water_capacity_rating,Cornell_aggregate_stability,Cornell_aggregate_stability_rating,Cornell_organic_matter,Cornell_organic_matter_rating,Cornell_soc,Cornell_total_c,Cornell_total_n,Cornell_ace_soil_protein_index,Cornell_ace_soil_protein_index_rating,Cornell_respiration,Cornell_respiration_rating,Cornell_active_carbon,Cornell_active_carbon_rating,Cornell_ph,Cornell_ph_rating,Cornell_p,Cornell_p_rating,Cornell_k,Cornell_k_rating,Cornell_mg,Cornell_fe,Cornell_mn,Cornell_zn,Cornell_minor_elements_rating,Cornell_overall score,Cornell_Mod. Morgan Al. ppm,Cornell_Mod. Morgan Ca. ppm,Cornell_Mod. Morgan Cu. ppm,Cornell_Mod. Morgan S. ppm,Cornell_Mod. Morgan B. ppm,Sample number
2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,PL111,Annual Ryegrass/Radish/Crimson Clover,Soybean,S,Winter Wheat,standard,no-till,interseed,0,1,282,3,1,1,SE1,Prior to Cover Crop Termination,Annual Ryegrass/Radish/Crimson Clover,4/16/2021,111,5.8,0.24,7,15,6,40,15,6,40,6.81,62.24,403.12,0.365,0.885,-0.002592638,0.022430777,,.,4/16/2021,111,6.77,11,103,252,1672.3,12.7,2.1,16.5,65.7,1.2,4,7.4,2.44,0.08,15.06,47.31,37.63,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,PL211,Annual Ryegrass/Radish/Crimson Clover,Soybean,S,Winter Wheat,standard,no-till,interseed,0,1,282,3,1,1,SE1,Prior to Cover Crop Termination,Annual Ryegrass/Radish/Crimson Clover,4/16/2021,211,6,0.22,7,14,4,28.57,15,4,26.67,6.77,62.76,383.64,0.384,0.849,-0.001380102,0.022570611,,.,4/16/2021,211,6.84,14,125,186,1372.1,8.7,3.7,17.8,78.6,1.3,3.5,7.3,2.05,0.09,15.23,50.55,34.23,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,141
2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,PL334,Annual Ryegrass/Radish/Crimson Clover,Soybean,S,Winter Wheat,standard,no-till,interseed,0,1,282,3,1,1,SE1,Prior to Cover Crop Termination,Annual Ryegrass/Radish/Crimson Clover,4/16/2021,334,8,0.24,9,14,3,21.43,15,1,6.67,6.79,62.43,378.98,0.362,1.052,-0.0010094,0.022071773,,.,4/16/2021,334,6.62,16,113,199,1392,10.9,2.7,15.2,63.8,1.3,1.4,7.1,2.2,0.11,19.27,45.13,35.6,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,164
2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,PL424,Annual Ryegrass/Radish/Crimson Clover,Soybean,S,Winter Wheat,standard,no-till,interseed,0,1,282,3,1,1,SE1,Prior to Cover Crop Termination,Annual Ryegrass/Radish/Crimson Clover,4/16/2021,424,6,0.25,10,15,4,26.67,15,4,26.67,6.69,53.38,357.99,0.333,0.946,-0.002592638,0.022430777,,.,4/16/2021,424,6.64,21,96,116,1205.8,9.2,2.7,10.5,65.2,1,1.2,7.2,1.71,0.08,14.53,41.16,44.31,Silty Clay,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,172
2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,PL112,Cereal Rye,Soybean,S,Winter Wheat,shallow,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,112,4.4,0.24,12,15,3,20,15,4,26.67,6.8,57.92,360.39,0.329,0.901,-0.001186173,0.022185984,,.,4/16/2021,112,6.95,14,127,278,1592.1,10.6,3.1,21.8,75.1,1.3,3.4,7.5,2.4,0.09,12.4,52.32,35.28,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130
2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,PL212,Cereal Rye,Soybean,S,Winter Wheat,shallow,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,212,3.6,0.25,13,15,0,0,15,2,13.33,6.72,53.26,366.81,0.385,0.84,-0.001186173,0.022185984,,.,4/16/2021,212,6.66,20,124,147,1326.3,10.2,3.1,12,65.2,1.7,3.7,7.9,2.37,0.1,11.81,50.24,37.95,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,142
2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,PL333,Cereal Rye,Soybean,S,Winter Wheat,shallow,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,333,8,0.23,11,15,3,20,15,3,20,6.7,55.47,403.93,0.333,0.946,-0.002592638,0.022430777,,.,4/16/2021,333,6.64,24,120,181,1301.5,10.3,3,14.6,63,1.4,3,7.5,2.22,0.11,19.17,46.45,34.39,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,163
2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,PL423,Cereal Rye,Soybean,S,Winter Wheat,shallow,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,423,3,0.24,10,13,3,23.08,15,5,33.33,6.8,52.58,324.37,0.329,0.901,-0.001186173,0.022185984,,.,4/16/2021,423,6.71,15,92,147,1300,10,2.4,12.3,65.3,1.4,2.2,7.1,2.13,0.09,19.22,44.8,35.98,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,171
2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,PL114,Cereal Rye,Soybean,S,Winter Wheat,reduced,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,114,8.5,0.25,15,15,0,0,15,2,13.33,6.93,62.53,429.14,0.417,0.939,-0.001380102,0.022570611,,.,4/16/2021,114,7.07,10,134,313,1843.1,12.2,2.8,21.4,75.7,1.2,4,7.2,2.46,0.09,17.89,42.5,39.61,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132
2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,PL214,Cereal Rye,Soybean,S,Winter Wheat,reduced,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,214,6.8,0.25,11,15,3,20,15,0,0,6.78,60.23,391.06,0.365,0.885,-0.002592638,0.022430777,,.,4/16/2021,214,6.6,19,113,134,1319.3,10,2.9,11.2,65.9,1.5,3.5,8.3,2.34,0.11,13.69,48.11,38.2,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,144
