YrEPCashSysBLPLSE,Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys, Plot,Location,PLLoc,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,Num_SoilDisturb,Num_SoilAboveDisturb,Num_DaysSinceLastDisturb_Placement,Num_DaysSinceLastDisturb_Collection,Num_DaysSincePlant_Placement,Num_DaysSincePlant_Collection,Total_NumofDisturb,SDR,CurrentCrop ,Num_SampleEvents,SentSample event,SE_Timing,Placement_Date,Collection_Date, Plot,Location,Intact,Chewed,Eaten,Missing,Total,MatricPotential,Gravimetric,WaxwormRotten,WaxwormTotal ,WaxwormTotal_Infected,Percent_Waxworm_Infect,MealwormTotal ,MealwormTotal_Infect,Perc_Meal_Infect,barpH,barEC,ActiveCmg/kg,SoilStandardAbsorbance,SoultionStandardAbsorbance,y-intercept,slope,ActiveC/mg/kgLEWIS, Plot,SampleDateCheck,Plot Number Check,aalpH,P,K,Mg,Ca,CEC,%CECK,%CECMg,%CECCa,zinc,copper,sulfur,OrganicMatterPerc,salts,SandPerc,SiltPerc,ClayPerc
Yr1EP3Alfalfa/OrchardgrassSys4BL1PL133-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,133,1,7,3,0,0,10,48,0.19,7,15,0,0,15,4,26.67,6.39,47.96,353.66,0.333,0.946,-0.002592638,0.022430777,0.40,133,6/21/2021,133,6.3,20,99,115,1008.5,8.5,3,11.3,59.6,1.4,2.8,6.1,2.17,0.08,19.17,46.45,34.39
Yr1EP3Alfalfa/OrchardgrassSys4BL2PL231-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,231,1,5,5,0,0,10,53,0.16,5,15,0,0,14,2,14.29,6.64,53.43,341.73,0.285,0.979,-0.001380102,0.022570611,0.42,231,6/21/2021,231,6.94,21,76,242,1576.8,10.1,1.9,20,78.1,1.7,3.8,6.7,1.76,0.11,34.33,39.48,26.19
Yr1EP3Alfalfa/OrchardgrassSys4BL3PL311-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,311,1,7,3,0,0,10,75,0.18,7,15,0,0,15,0,0,6.88,49.76,353.17,0.388,0.976,-0.001380102,0.022570611,0.32,311,6/21/2021,311,7.1,20,102,249,1526.3,10,2.6,20.8,76.6,1.5,2.7,6.3,2.28,0.08,20.1,44.89,35.01
Yr1EP3Alfalfa/OrchardgrassSys4BL4PL411-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,411,1,0,3,7,0,10,70,0.19,5,15,0,0,15,1,6.67,6.97,60.82,294.91,0.385,0.84,-0.001186173,0.022185984,0.24,411,6/21/2021,411,7.2,14,124,348,1837.8,12.4,2.6,23.4,74.1,2,2.2,7,2.57,0.11,11.05,51.81,37.14
Yr1EP3CornSys1BL1PL131-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,131,1,10,0,0,0,10,32,0.21,9,15,0,0,15,7,46.67,5.99,256.6,359.05,0.405,0.999,-0.0010094,0.022071773,0.32,131,6/21/2021,131,6.03,35,148,143,1271.6,11.3,3.3,10.5,56.1,2.1,2.9,9.5,2.21,0.31,16.14,50.29,33.57
Yr1EP3CornSys2BL1PL132-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,2,Sys2,132,1,PL132-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,132,1,9,1,0,0,10,48,0.21,8,15,2,13.33,15,8,53.33,6.02,183.6,326.91,0.337,0.883,-0.002592638,0.022430777,0.33,132,6/21/2021,132,6.02,30,133,119,1143.7,9.9,3.5,10.1,58,1.8,3.2,9.6,2.16,0.24,18.21,49.11,32.69
Yr1EP3CornSys3BL1PL134-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,3,Sys3,134,1,PL134-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,134,1,9,1,0,0,10,32,0.19,11,15,1,6.67,15,11,73.33,6.05,273.1,382.06,0.309,1.044,-0.0010094,0.022071773,0.46,134,6/21/2021,134,5.95,19,135,133,1309.8,10.8,3.2,10.3,60.6,1.8,3.3,9,2.15,0.3,19.27,45.13,35.6
Yr1EP3CornSys2BL2PL232-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,2,Sys2,232,1,PL232-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,232,1,5,4,1,0,10,27,0.17,7,15,1,6.67,15,5,33.33,6.51,109.5,177.7,0.33,0.88,-0.001186173,0.022185984,0.18,232,6/21/2021,232,6.77,29,92,269,1476.1,11.9,2,18.9,62.2,2.2,3.7,8.8,1.71,0.17,42.31,29.93,27.76
Yr1EP3CornSys1BL2PL233-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,233,1,9,1,0,0,10,30,0.18,7,15,0,0,15,6,40,6.26,168.4,313.04,0.329,0.901,-0.001186173,0.022185984,0.33,233,6/21/2021,233,6.47,38,97,185,1432.9,11,2.3,14.1,65.4,2.4,4.9,10.2,1.8,0.25,43.39,28,28.61
Yr1EP3CornSys3BL2PL234-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,3,Sys3,234,1,PL234-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,234,1,8,2,0,0,10,31,0.19,4,15,1,6.67,15,3,20,6.27,198.8,226.32,0.385,0.84,-0.001186173,0.022185984,0.17,234,6/21/2021,234,6.6,21,92,243,1573,12.1,1.9,16.7,64.9,2.1,4.2,8.9,1.91,0.23,25.11,42.36,32.53
