YrEPCashSysBLPLSE,Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys, Plot,Location,PLLoc,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,Num_SoilDisturb,Num_SoilAboveDisturb,Num_DaysSinceLastDisturb_Placement,Num_DaysSinceLastDisturb_Collection,Num_DaysSincePlant_Placement,Num_DaysSincePlant_Collection,Total_NumofDisturb,SDR,CurrentCrop ,Num_SampleEvents,SentSample event,SE_Timing,Placement_Date,Collection_Date, Plot,Location,Intact,Chewed,Eaten,Missing,Total
Yr1EP1SoybeanSys1BL1PL111-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,1,PL111-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,111,1,6,4,0,0,10
Yr1EP1SoybeanSys1BL2PL211-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,1,PL211-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,211,1,8,1,1,0,10
Yr1EP1SoybeanSys1BL3PL334-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,1,PL334-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,334,1,9,1,0,0,10
Yr1EP1SoybeanSys1BL4PL424-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,1,PL424-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,424,1,3,5,2,0,10
Yr1EP1SoybeanSys2BL1PL112-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,1,PL112-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,112,1,9,1,0,0,10
Yr1EP1SoybeanSys2BL2PL212-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,1,PL212-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,212,1,5,5,0,0,10
Yr1EP1SoybeanSys2BL3PL333-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,1,PL333-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,333,1,8,2,0,0,10
Yr1EP1SoybeanSys2BL4PL423-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,1,PL423-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,423,1,7,3,0,0,10
Yr1EP1SoybeanSys3BL1PL114-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,1,PL114-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,114,1,1,3,6,0,10
Yr1EP1SoybeanSys3BL2PL214-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,1,PL214-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,214,1,4,6,0,0,10
Yr1EP1SoybeanSys3BL3PL331-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,1,PL331-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,331,1,3,2,5,0,10
Yr1EP1SoybeanSys3BL4PL421-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,1,PL421-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,421,1,6,0,4,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL1PL133-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,133,1,7,3,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL2PL231-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,231,1,5,5,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL3PL311-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,311,1,7,3,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL4PL411-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,411,1,0,3,7,0,10
Yr1EP3CornSys1BL1PL131-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,131,1,10,0,0,0,10
Yr1EP3CornSys1BL2PL233-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,233,1,9,1,0,0,10
Yr1EP3CornSys1BL3PL313-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,313,1,10,0,0,0,10
Yr1EP3CornSys1BL4PL413-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,413,1,9,1,0,0,10
